NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.1, 47.5545 msec to evaluate
step 100, training accuracy 0.1, 3.93748 msec to evaluate
step 200, training accuracy 0.28, 4.05526 msec to evaluate
step 300, training accuracy 0.4, 3.68381 msec to evaluate
step 400, training accuracy 0.28, 3.32117 msec to evaluate
step 500, training accuracy 0.34, 3.98779 msec to evaluate
step 600, training accuracy 0.3, 4.60029 msec to evaluate
step 700, training accuracy 0.3, 4.24957 msec to evaluate
step 800, training accuracy 0.46, 4.05169 msec to evaluate
step 900, training accuracy 0.44, 4.14705 msec to evaluate
test accuracy 0.5179
step 1000, training accuracy 0.46, 4.00472 msec to evaluate
step 1100, training accuracy 0.56, 3.42226 msec to evaluate
step 1200, training accuracy 0.62, 4.44078 msec to evaluate
step 1300, training accuracy 0.52, 3.88098 msec to evaluate
step 1400, training accuracy 0.46, 4.56142 msec to evaluate
step 1500, training accuracy 0.68, 3.92294 msec to evaluate
step 1600, training accuracy 0.68, 4.13108 msec to evaluate
step 1700, training accuracy 0.72, 3.93915 msec to evaluate
step 1800, training accuracy 0.76, 4.26364 msec to evaluate
step 1900, training accuracy 0.58, 3.79348 msec to evaluate
test accuracy 0.7418
step 2000, training accuracy 0.68, 3.92032 msec to evaluate
step 2100, training accuracy 0.72, 4.06623 msec to evaluate
step 2200, training accuracy 0.8, 3.60155 msec to evaluate
step 2300, training accuracy 0.7, 4.60672 msec to evaluate
step 2400, training accuracy 0.66, 3.72815 msec to evaluate
step 2500, training accuracy 0.66, 4.46177 msec to evaluate
step 2600, training accuracy 0.76, 3.84688 msec to evaluate
step 2700, training accuracy 0.82, 4.34136 msec to evaluate
step 2800, training accuracy 0.8, 4.56882 msec to evaluate
step 2900, training accuracy 0.74, 3.48997 msec to evaluate
test accuracy 0.8226
step 3000, training accuracy 0.82, 3.08299 msec to evaluate
step 3100, training accuracy 0.8, 3.83377 msec to evaluate
step 3200, training accuracy 0.74, 3.90339 msec to evaluate
step 3300, training accuracy 0.92, 3.67498 msec to evaluate
step 3400, training accuracy 0.82, 3.99804 msec to evaluate
step 3500, training accuracy 0.84, 4.0586 msec to evaluate
step 3600, training accuracy 0.8, 4.48227 msec to evaluate
step 3700, training accuracy 0.86, 3.93605 msec to evaluate
step 3800, training accuracy 0.8, 4.28891 msec to evaluate
step 3900, training accuracy 0.86, 4.38833 msec to evaluate
test accuracy 0.8535
step 4000, training accuracy 0.82, 3.00074 msec to evaluate
step 4100, training accuracy 0.84, 3.94964 msec to evaluate
