NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.08, 37.0758 msec to evaluate
step 100, training accuracy 0.2, 4.47083 msec to evaluate
step 200, training accuracy 0.28, 3.40152 msec to evaluate
step 300, training accuracy 0.46, 3.43013 msec to evaluate
step 400, training accuracy 0.4, 3.42655 msec to evaluate
step 500, training accuracy 0.5, 3.26347 msec to evaluate
step 600, training accuracy 0.38, 3.31664 msec to evaluate
step 700, training accuracy 0.48, 5.06902 msec to evaluate
step 800, training accuracy 0.4, 3.74079 msec to evaluate
step 900, training accuracy 0.34, 3.9916 msec to evaluate
test accuracy 0.5209
step 1000, training accuracy 0.54, 4.26078 msec to evaluate
step 1100, training accuracy 0.54, 3.78942 msec to evaluate
step 1200, training accuracy 0.54, 3.8476 msec to evaluate
step 1300, training accuracy 0.6, 4.01068 msec to evaluate
step 1400, training accuracy 0.6, 3.85451 msec to evaluate
step 1500, training accuracy 0.48, 4.11439 msec to evaluate
step 1600, training accuracy 0.62, 3.64661 msec to evaluate
step 1700, training accuracy 0.66, 3.93081 msec to evaluate
step 1800, training accuracy 0.72, 5.52964 msec to evaluate
step 1900, training accuracy 0.62, 3.59941 msec to evaluate
test accuracy 0.7295
step 2000, training accuracy 0.6, 4.60815 msec to evaluate
step 2100, training accuracy 0.62, 3.75676 msec to evaluate
step 2200, training accuracy 0.76, 3.4306 msec to evaluate
step 2300, training accuracy 0.7, 3.60107 msec to evaluate
step 2400, training accuracy 0.86, 4.7729 msec to evaluate
step 2500, training accuracy 0.84, 3.39627 msec to evaluate
step 2600, training accuracy 0.72, 4.52828 msec to evaluate
step 2700, training accuracy 0.82, 3.59631 msec to evaluate
step 2800, training accuracy 0.8, 3.79252 msec to evaluate
step 2900, training accuracy 0.8, 4.23598 msec to evaluate
test accuracy 0.8225
step 3000, training accuracy 0.82, 4.30584 msec to evaluate
step 3100, training accuracy 0.86, 3.79229 msec to evaluate
step 3200, training accuracy 0.82, 4.23002 msec to evaluate
step 3300, training accuracy 0.82, 3.84784 msec to evaluate
step 3400, training accuracy 0.86, 3.8507 msec to evaluate
step 3500, training accuracy 0.82, 4.23384 msec to evaluate
step 3600, training accuracy 0.82, 4.55856 msec to evaluate
step 3700, training accuracy 0.86, 3.61562 msec to evaluate
step 3800, training accuracy 0.8, 3.89862 msec to evaluate
step 3900, training accuracy 0.84, 3.99041 msec to evaluate
test accuracy 0.863
step 4000, training accuracy 0.94, 4.03905 msec to evaluate
step 4100, training accuracy 0.88, 3.54147 msec to evaluate
