NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.08, 35.5844 msec to evaluate
step 100, training accuracy 0.24, 4.33135 msec to evaluate
step 200, training accuracy 0.16, 3.99518 msec to evaluate
step 300, training accuracy 0.2, 4.37689 msec to evaluate
step 400, training accuracy 0.4, 4.33016 msec to evaluate
step 500, training accuracy 0.34, 3.64065 msec to evaluate
step 600, training accuracy 0.5, 3.75295 msec to evaluate
step 700, training accuracy 0.48, 3.30424 msec to evaluate
step 800, training accuracy 0.66, 3.82471 msec to evaluate
step 900, training accuracy 0.52, 4.08316 msec to evaluate
test accuracy 0.5447
step 1000, training accuracy 0.6, 4.85706 msec to evaluate
step 1100, training accuracy 0.58, 3.93605 msec to evaluate
step 1200, training accuracy 0.56, 3.90601 msec to evaluate
step 1300, training accuracy 0.48, 3.71528 msec to evaluate
step 1400, training accuracy 0.58, 3.62945 msec to evaluate
step 1500, training accuracy 0.6, 4.03237 msec to evaluate
step 1600, training accuracy 0.78, 4.11081 msec to evaluate
step 1700, training accuracy 0.76, 3.81422 msec to evaluate
step 1800, training accuracy 0.6, 4.03047 msec to evaluate
step 1900, training accuracy 0.72, 3.75414 msec to evaluate
test accuracy 0.7685
step 2000, training accuracy 0.74, 3.36528 msec to evaluate
step 2100, training accuracy 0.7, 4.04787 msec to evaluate
step 2200, training accuracy 0.78, 3.29423 msec to evaluate
step 2300, training accuracy 0.78, 4.07672 msec to evaluate
step 2400, training accuracy 0.86, 4.22859 msec to evaluate
step 2500, training accuracy 0.8, 3.69239 msec to evaluate
step 2600, training accuracy 0.76, 4.02451 msec to evaluate
step 2700, training accuracy 0.76, 3.96061 msec to evaluate
step 2800, training accuracy 0.78, 3.38697 msec to evaluate
step 2900, training accuracy 0.76, 3.89099 msec to evaluate
test accuracy 0.8265
step 3000, training accuracy 0.82, 3.95679 msec to evaluate
step 3100, training accuracy 1, 3.87836 msec to evaluate
step 3200, training accuracy 0.78, 4.09889 msec to evaluate
step 3300, training accuracy 0.84, 3.75199 msec to evaluate
step 3400, training accuracy 0.96, 3.9103 msec to evaluate
step 3500, training accuracy 0.88, 3.99685 msec to evaluate
step 3600, training accuracy 0.94, 3.93653 msec to evaluate
step 3700, training accuracy 0.78, 4.26698 msec to evaluate
step 3800, training accuracy 0.78, 4.15874 msec to evaluate
step 3900, training accuracy 0.82, 3.96872 msec to evaluate
test accuracy 0.8782
step 4000, training accuracy 0.84, 3.74532 msec to evaluate
step 4100, training accuracy 0.84, 4.01425 msec to evaluate
step 4200, training accuracy 0.62, 3.93367 msec to evaluate
step 4300, training accuracy 0.72, 4.45938 msec to evaluate
step 4400, training accuracy 0.92, 4.10485 msec to evaluate
step 4500, training accuracy 0.86, 3.87859 msec to evaluate
step 4600, training accuracy 0.9, 3.66616 msec to evaluate
step 4700, training accuracy 0.8, 4.36497 msec to evaluate
step 4800, training accuracy 0.78, 4.34637 msec to evaluate
step 4900, training accuracy 0.88, 3.89886 msec to evaluate
test accuracy 0.8951
step 5000, training accuracy 0.88, 3.76534 msec to evaluate
step 5100, training accuracy 0.9, 4.13227 msec to evaluate
step 5200, training accuracy 0.84, 3.65591 msec to evaluate
step 5300, training accuracy 0.88, 4.40168 msec to evaluate
step 5400, training accuracy 0.9, 3.87311 msec to evaluate
step 5500, training accuracy 0.96, 4.52352 msec to evaluate
step 5600, training accuracy 0.98, 3.83949 msec to evaluate
step 5700, training accuracy 0.9, 4.21333 msec to evaluate
step 5800, training accuracy 0.84, 4.07958 msec to evaluate
step 5900, training accuracy 0.84, 3.43871 msec to evaluate
test accuracy 0.9099
step 6000, training accuracy 0.86, 4.3292 msec to evaluate
step 6100, training accuracy 0.88, 4.0803 msec to evaluate
step 6200, training accuracy 0.94, 4.45342 msec to evaluate
step 6300, training accuracy 0.88, 3.75199 msec to evaluate
step 6400, training accuracy 0.86, 4.09079 msec to evaluate
step 6500, training accuracy 0.84, 5.12338 msec to evaluate
step 6600, training accuracy 0.94, 3.44539 msec to evaluate
step 6700, training accuracy 0.92, 3.79038 msec to evaluate
step 6800, training accuracy 0.88, 4.22645 msec to evaluate
step 6900, training accuracy 0.88, 4.12154 msec to evaluate
test accuracy 0.909
step 7000, training accuracy 0.88, 4.28843 msec to evaluate
step 7100, training accuracy 0.92, 5.01609 msec to evaluate
step 7200, training accuracy 0.9, 3.9134 msec to evaluate
step 7300, training accuracy 0.92, 4.14467 msec to evaluate
step 7400, training accuracy 0.98, 3.59559 msec to evaluate
step 7500, training accuracy 0.9, 3.67093 msec to evaluate
step 7600, training accuracy 0.96, 4.42672 msec to evaluate
step 7700, training accuracy 0.96, 3.48377 msec to evaluate
step 7800, training accuracy 0.92, 4.2243 msec to evaluate
step 7900, training accuracy 0.86, 3.92437 msec to evaluate
test accuracy 0.9194
step 8000, training accuracy 0.88, 3.23915 msec to evaluate
step 8100, training accuracy 0.92, 4.34971 msec to evaluate
step 8200, training accuracy 0.9, 3.82829 msec to evaluate
step 8300, training accuracy 0.96, 4.1914 msec to evaluate
step 8400, training accuracy 0.94, 4.19259 msec to evaluate
step 8500, training accuracy 0.94, 4.12464 msec to evaluate
step 8600, training accuracy 0.86, 4.5445 msec to evaluate
step 8700, training accuracy 0.9, 3.81303 msec to evaluate
step 8800, training accuracy 0.92, 3.65043 msec to evaluate
step 8900, training accuracy 0.92, 3.49975 msec to evaluate
test accuracy 0.9275
step 9000, training accuracy 0.96, 4.50492 msec to evaluate
step 9100, training accuracy 0.86, 5.07832 msec to evaluate
step 9200, training accuracy 0.94, 3.73054 msec to evaluate
step 9300, training accuracy 0.86, 4.41122 msec to evaluate
step 9400, training accuracy 0.84, 4.58097 msec to evaluate
step 9500, training accuracy 0.94, 6.43444 msec to evaluate
step 9600, training accuracy 0.92, 3.84665 msec to evaluate
step 9700, training accuracy 0.92, 3.52454 msec to evaluate
step 9800, training accuracy 0.92, 3.91793 msec to evaluate
step 9900, training accuracy 0.92, 4.32944 msec to evaluate
test accuracy 0.93
step 10000, training accuracy 0.96, 2.79641 msec to evaluate
step 10100, training accuracy 0.88, 4.32658 msec to evaluate
step 10200, training accuracy 0.92, 4.12202 msec to evaluate
step 10300, training accuracy 0.9, 3.74103 msec to evaluate
step 10400, training accuracy 0.88, 3.95799 msec to evaluate
step 10500, training accuracy 0.98, 3.5553 msec to evaluate
step 10600, training accuracy 0.98, 4.74739 msec to evaluate
step 10700, training accuracy 0.98, 4.20094 msec to evaluate
step 10800, training accuracy 0.9, 3.94201 msec to evaluate
step 10900, training accuracy 0.84, 4.20403 msec to evaluate
test accuracy 0.9355
step 11000, training accuracy 0.96, 5.17845 msec to evaluate
step 11100, training accuracy 0.9, 4.44293 msec to evaluate
step 11200, training accuracy 0.98, 3.9258 msec to evaluate
step 11300, training accuracy 0.96, 3.654 msec to evaluate
step 11400, training accuracy 0.92, 4.19855 msec to evaluate
step 11500, training accuracy 0.96, 4.25601 msec to evaluate
step 11600, training accuracy 1, 4.38643 msec to evaluate
step 11700, training accuracy 0.96, 4.11201 msec to evaluate
step 11800, training accuracy 0.96, 3.85666 msec to evaluate
step 11900, training accuracy 0.9, 4.19927 msec to evaluate
test accuracy 0.9344
step 12000, training accuracy 0.88, 3.33738 msec to evaluate
step 12100, training accuracy 0.96, 4.23837 msec to evaluate
step 12200, training accuracy 0.9, 4.1883 msec to evaluate
step 12300, training accuracy 0.94, 4.15111 msec to evaluate
step 12400, training accuracy 0.96, 4.47607 msec to evaluate
step 12500, training accuracy 0.86, 4.75097 msec to evaluate
step 12600, training accuracy 0.94, 3.7024 msec to evaluate
step 12700, training accuracy 0.94, 4.06408 msec to evaluate
step 12800, training accuracy 0.86, 3.89624 msec to evaluate
step 12900, training accuracy 0.98, 3.99065 msec to evaluate
test accuracy 0.9399
step 13000, training accuracy 0.94, 4.44341 msec to evaluate
step 13100, training accuracy 0.94, 4.43912 msec to evaluate
step 13200, training accuracy 0.98, 3.63517 msec to evaluate
step 13300, training accuracy 0.9, 4.00782 msec to evaluate
step 13400, training accuracy 0.92, 4.37808 msec to evaluate
step 13500, training accuracy 0.96, 4.45986 msec to evaluate
step 13600, training accuracy 0.96, 3.60179 msec to evaluate
step 13700, training accuracy 0.96, 4.23527 msec to evaluate
step 13800, training accuracy 1, 3.70789 msec to evaluate
step 13900, training accuracy 0.96, 4.1213 msec to evaluate
test accuracy 0.9441
step 14000, training accuracy 0.96, 3.51667 msec to evaluate
step 14100, training accuracy 1, 3.68643 msec to evaluate
step 14200, training accuracy 0.98, 4.33016 msec to evaluate
step 14300, training accuracy 0.88, 3.83615 msec to evaluate
step 14400, training accuracy 0.96, 4.69327 msec to evaluate
step 14500, training accuracy 0.96, 4.24552 msec to evaluate
step 14600, training accuracy 0.9, 3.58224 msec to evaluate
step 14700, training accuracy 0.94, 4.38166 msec to evaluate
step 14800, training accuracy 0.9, 3.69549 msec to evaluate
step 14900, training accuracy 0.96, 4.04906 msec to evaluate
test accuracy 0.941
step 15000, training accuracy 0.9, 3.78108 msec to evaluate
step 15100, training accuracy 0.9, 3.77607 msec to evaluate
step 15200, training accuracy 0.94, 3.82161 msec to evaluate
step 15300, training accuracy 0.92, 4.48322 msec to evaluate
step 15400, training accuracy 0.88, 3.64947 msec to evaluate
step 15500, training accuracy 0.92, 4.00162 msec to evaluate
step 15600, training accuracy 0.94, 4.09865 msec to evaluate
step 15700, training accuracy 0.92, 4.16064 msec to evaluate
step 15800, training accuracy 0.86, 4.23479 msec to evaluate
step 15900, training accuracy 0.94, 4.08077 msec to evaluate
test accuracy 0.9452
step 16000, training accuracy 1, 4.34852 msec to evaluate
step 16100, training accuracy 0.98, 4.36378 msec to evaluate
step 16200, training accuracy 0.88, 3.97325 msec to evaluate
step 16300, training accuracy 0.9, 3.29542 msec to evaluate
step 16400, training accuracy 0.94, 4.10509 msec to evaluate
step 16500, training accuracy 0.92, 3.74556 msec to evaluate
step 16600, training accuracy 0.96, 3.82948 msec to evaluate
step 16700, training accuracy 0.9, 4.22406 msec to evaluate
step 16800, training accuracy 0.98, 4.08959 msec to evaluate
step 16900, training accuracy 0.92, 3.9494 msec to evaluate
test accuracy 0.9406
step 17000, training accuracy 0.94, 3.6509 msec to evaluate
step 17100, training accuracy 0.92, 3.56936 msec to evaluate
step 17200, training accuracy 0.9, 3.96228 msec to evaluate
step 17300, training accuracy 0.9, 3.9072 msec to evaluate
step 17400, training accuracy 0.98, 4.47607 msec to evaluate
step 17500, training accuracy 0.9, 4.07195 msec to evaluate
step 17600, training accuracy 0.96, 3.85904 msec to evaluate
