NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.06, 36.5419 msec to evaluate
step 100, training accuracy 0.16, 4.00305 msec to evaluate
step 200, training accuracy 0.2, 3.81398 msec to evaluate
step 300, training accuracy 0.36, 4.13322 msec to evaluate
step 400, training accuracy 0.34, 3.80659 msec to evaluate
step 500, training accuracy 0.36, 3.81422 msec to evaluate
step 600, training accuracy 0.28, 3.7179 msec to evaluate
step 700, training accuracy 0.36, 5.06854 msec to evaluate
step 800, training accuracy 0.46, 3.81374 msec to evaluate
step 900, training accuracy 0.56, 3.89624 msec to evaluate
test accuracy 0.5232
step 1000, training accuracy 0.7, 3.9978 msec to evaluate
step 1100, training accuracy 0.48, 3.65829 msec to evaluate
step 1200, training accuracy 0.54, 3.53789 msec to evaluate
step 1300, training accuracy 0.72, 3.42298 msec to evaluate
step 1400, training accuracy 0.56, 4.23455 msec to evaluate
step 1500, training accuracy 0.52, 3.9885 msec to evaluate
step 1600, training accuracy 0.8, 3.82447 msec to evaluate
step 1700, training accuracy 0.52, 3.67999 msec to evaluate
step 1800, training accuracy 0.62, 4.0884 msec to evaluate
step 1900, training accuracy 0.82, 5.06425 msec to evaluate
test accuracy 0.7338
step 2000, training accuracy 0.74, 4.05955 msec to evaluate
step 2100, training accuracy 0.74, 4.08936 msec to evaluate
step 2200, training accuracy 0.74, 5.48983 msec to evaluate
step 2300, training accuracy 0.7, 4.07362 msec to evaluate
step 2400, training accuracy 0.74, 4.34232 msec to evaluate
step 2500, training accuracy 0.82, 3.60179 msec to evaluate
step 2600, training accuracy 0.76, 3.9103 msec to evaluate
step 2700, training accuracy 0.82, 4.21405 msec to evaluate
step 2800, training accuracy 0.86, 3.82304 msec to evaluate
step 2900, training accuracy 0.7, 3.98993 msec to evaluate
test accuracy 0.8152
step 3000, training accuracy 0.82, 3.40319 msec to evaluate
step 3100, training accuracy 0.78, 4.21357 msec to evaluate
step 3200, training accuracy 0.88, 4.05717 msec to evaluate
step 3300, training accuracy 0.82, 4.73213 msec to evaluate
step 3400, training accuracy 0.8, 3.83186 msec to evaluate
step 3500, training accuracy 0.78, 3.8743 msec to evaluate
step 3600, training accuracy 0.8, 4.47488 msec to evaluate
step 3700, training accuracy 0.82, 3.88098 msec to evaluate
step 3800, training accuracy 0.88, 3.96538 msec to evaluate
step 3900, training accuracy 0.82, 4.19497 msec to evaluate
test accuracy 0.8677
step 4000, training accuracy 0.9, 3.10183 msec to evaluate
step 4100, training accuracy 0.84, 3.66902 msec to evaluate
