NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.14, 46.9613 msec to evaluate
step 100, training accuracy 0.16, 3.9854 msec to evaluate
step 200, training accuracy 0.26, 4.22502 msec to evaluate
step 300, training accuracy 0.44, 4.00734 msec to evaluate
step 400, training accuracy 0.36, 4.13895 msec to evaluate
step 500, training accuracy 0.28, 4.07839 msec to evaluate
step 600, training accuracy 0.5, 4.03619 msec to evaluate
step 700, training accuracy 0.42, 3.8147 msec to evaluate
step 800, training accuracy 0.48, 4.22812 msec to evaluate
step 900, training accuracy 0.56, 4.26483 msec to evaluate
test accuracy 0.5281
step 1000, training accuracy 0.6, 4.12416 msec to evaluate
step 1100, training accuracy 0.62, 3.42417 msec to evaluate
step 1200, training accuracy 0.68, 3.77584 msec to evaluate
step 1300, training accuracy 0.52, 3.91889 msec to evaluate
step 1400, training accuracy 0.58, 3.62611 msec to evaluate
step 1500, training accuracy 0.6, 4.78601 msec to evaluate
step 1600, training accuracy 0.72, 4.18925 msec to evaluate
step 1700, training accuracy 0.68, 3.65615 msec to evaluate
step 1800, training accuracy 0.64, 3.92342 msec to evaluate
step 1900, training accuracy 0.64, 4.09794 msec to evaluate
test accuracy 0.7407
step 2000, training accuracy 0.6, 3.82638 msec to evaluate
step 2100, training accuracy 0.74, 3.94082 msec to evaluate
step 2200, training accuracy 0.78, 5.57184 msec to evaluate
step 2300, training accuracy 0.7, 4.44818 msec to evaluate
step 2400, training accuracy 0.66, 4.07577 msec to evaluate
step 2500, training accuracy 0.8, 4.02117 msec to evaluate
step 2600, training accuracy 0.88, 3.97754 msec to evaluate
step 2700, training accuracy 0.9, 5.09214 msec to evaluate
step 2800, training accuracy 0.74, 3.63111 msec to evaluate
step 2900, training accuracy 0.88, 3.74222 msec to evaluate
test accuracy 0.841
step 3000, training accuracy 0.86, 3.73721 msec to evaluate
step 3100, training accuracy 0.86, 4.06647 msec to evaluate
step 3200, training accuracy 0.86, 4.3323 msec to evaluate
step 3300, training accuracy 0.7, 3.4883 msec to evaluate
step 3400, training accuracy 0.84, 4.21619 msec to evaluate
step 3500, training accuracy 0.74, 4.26388 msec to evaluate
step 3600, training accuracy 0.86, 3.89838 msec to evaluate
step 3700, training accuracy 0.86, 3.74222 msec to evaluate
step 3800, training accuracy 0.82, 4.11415 msec to evaluate
step 3900, training accuracy 0.9, 3.63302 msec to evaluate
test accuracy 0.8723
step 4000, training accuracy 0.86, 5.05829 msec to evaluate
step 4100, training accuracy 0.82, 4.41194 msec to evaluate
