NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.04, 39.7215 msec to evaluate
step 100, training accuracy 0.2, 4.37307 msec to evaluate
step 200, training accuracy 0.22, 3.72577 msec to evaluate
step 300, training accuracy 0.34, 3.86953 msec to evaluate
step 400, training accuracy 0.46, 4.09102 msec to evaluate
step 500, training accuracy 0.32, 3.90577 msec to evaluate
step 600, training accuracy 0.4, 3.721 msec to evaluate
step 700, training accuracy 0.46, 3.46732 msec to evaluate
step 800, training accuracy 0.58, 3.74389 msec to evaluate
step 900, training accuracy 0.42, 4.10938 msec to evaluate
test accuracy 0.4551
step 1000, training accuracy 0.5, 2.66123 msec to evaluate
step 1100, training accuracy 0.48, 3.70574 msec to evaluate
step 1200, training accuracy 0.36, 3.69525 msec to evaluate
step 1300, training accuracy 0.52, 3.81446 msec to evaluate
step 1400, training accuracy 0.64, 4.13966 msec to evaluate
step 1500, training accuracy 0.68, 3.82161 msec to evaluate
step 1600, training accuracy 0.56, 4.42982 msec to evaluate
step 1700, training accuracy 0.68, 4.06504 msec to evaluate
step 1800, training accuracy 0.68, 4.19402 msec to evaluate
step 1900, training accuracy 0.64, 3.43537 msec to evaluate
test accuracy 0.6724
step 2000, training accuracy 0.62, 3.60394 msec to evaluate
step 2100, training accuracy 0.64, 3.46613 msec to evaluate
step 2200, training accuracy 0.84, 6.4683 msec to evaluate
step 2300, training accuracy 0.66, 4.45414 msec to evaluate
step 2400, training accuracy 0.76, 4.04263 msec to evaluate
step 2500, training accuracy 0.68, 4.14228 msec to evaluate
step 2600, training accuracy 0.66, 3.56984 msec to evaluate
step 2700, training accuracy 0.7, 3.82113 msec to evaluate
step 2800, training accuracy 0.82, 4.52089 msec to evaluate
step 2900, training accuracy 0.74, 4.22359 msec to evaluate
test accuracy 0.8055
step 3000, training accuracy 0.8, 3.73435 msec to evaluate
step 3100, training accuracy 0.76, 3.41511 msec to evaluate
step 3200, training accuracy 0.8, 3.64637 msec to evaluate
step 3300, training accuracy 0.78, 4.08912 msec to evaluate
step 3400, training accuracy 0.88, 4.43578 msec to evaluate
step 3500, training accuracy 0.74, 3.90434 msec to evaluate
step 3600, training accuracy 0.84, 3.49307 msec to evaluate
step 3700, training accuracy 0.88, 4.73022 msec to evaluate
step 3800, training accuracy 0.86, 4.03786 msec to evaluate
step 3900, training accuracy 0.8, 4.09317 msec to evaluate
test accuracy 0.8378
step 4000, training accuracy 0.86, 3.05963 msec to evaluate
step 4100, training accuracy 0.82, 4.18615 msec to evaluate
