NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.12, 36.402 msec to evaluate
step 100, training accuracy 0.18, 4.79674 msec to evaluate
step 200, training accuracy 0.28, 4.34375 msec to evaluate
step 300, training accuracy 0.24, 4.11248 msec to evaluate
step 400, training accuracy 0.32, 3.66449 msec to evaluate
step 500, training accuracy 0.3, 4.13871 msec to evaluate
step 600, training accuracy 0.42, 3.72672 msec to evaluate
step 700, training accuracy 0.4, 3.94154 msec to evaluate
step 800, training accuracy 0.44, 4.31514 msec to evaluate
step 900, training accuracy 0.48, 4.47178 msec to evaluate
test accuracy 0.5027
step 1000, training accuracy 0.52, 3.19052 msec to evaluate
step 1100, training accuracy 0.72, 3.60513 msec to evaluate
step 1200, training accuracy 0.6, 4.56977 msec to evaluate
step 1300, training accuracy 0.48, 4.1039 msec to evaluate
step 1400, training accuracy 0.58, 3.45159 msec to evaluate
step 1500, training accuracy 0.64, 4.19283 msec to evaluate
step 1600, training accuracy 0.56, 3.93796 msec to evaluate
step 1700, training accuracy 0.58, 4.01068 msec to evaluate
step 1800, training accuracy 0.66, 3.71265 msec to evaluate
step 1900, training accuracy 0.66, 4.34136 msec to evaluate
test accuracy 0.7523
step 2000, training accuracy 0.74, 3.55649 msec to evaluate
step 2100, training accuracy 0.74, 3.87764 msec to evaluate
step 2200, training accuracy 0.76, 3.61991 msec to evaluate
step 2300, training accuracy 0.72, 4.09746 msec to evaluate
step 2400, training accuracy 0.6, 3.81136 msec to evaluate
step 2500, training accuracy 0.84, 3.74436 msec to evaluate
step 2600, training accuracy 0.76, 4.22907 msec to evaluate
step 2700, training accuracy 0.8, 3.73626 msec to evaluate
step 2800, training accuracy 0.84, 4.01139 msec to evaluate
step 2900, training accuracy 0.7, 4.05121 msec to evaluate
test accuracy 0.8253
step 3000, training accuracy 0.74, 3.52716 msec to evaluate
step 3100, training accuracy 0.72, 4.70471 msec to evaluate
step 3200, training accuracy 0.66, 3.99685 msec to evaluate
step 3300, training accuracy 0.82, 3.04127 msec to evaluate
step 3400, training accuracy 0.8, 4.49657 msec to evaluate
step 3500, training accuracy 0.76, 3.84402 msec to evaluate
step 3600, training accuracy 0.86, 4.64082 msec to evaluate
step 3700, training accuracy 0.88, 3.94607 msec to evaluate
step 3800, training accuracy 0.86, 3.76487 msec to evaluate
step 3900, training accuracy 0.82, 4.53401 msec to evaluate
test accuracy 0.854
step 4000, training accuracy 0.84, 4.62317 msec to evaluate
step 4100, training accuracy 0.9, 4.03118 msec to evaluate
