NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.14, 36.1078 msec to evaluate
step 100, training accuracy 0.1, 3.87049 msec to evaluate
step 200, training accuracy 0.06, 3.50237 msec to evaluate
step 300, training accuracy 0.32, 3.45278 msec to evaluate
step 400, training accuracy 0.24, 4.00424 msec to evaluate
step 500, training accuracy 0.36, 3.72791 msec to evaluate
step 600, training accuracy 0.34, 3.58391 msec to evaluate
step 700, training accuracy 0.26, 3.70979 msec to evaluate
step 800, training accuracy 0.26, 3.7899 msec to evaluate
step 900, training accuracy 0.5, 3.33142 msec to evaluate
test accuracy 0.4557
step 1000, training accuracy 0.42, 3.43442 msec to evaluate
step 1100, training accuracy 0.56, 3.63946 msec to evaluate
step 1200, training accuracy 0.44, 3.77774 msec to evaluate
step 1300, training accuracy 0.48, 3.78299 msec to evaluate
step 1400, training accuracy 0.46, 4.17829 msec to evaluate
step 1500, training accuracy 0.58, 3.95894 msec to evaluate
step 1600, training accuracy 0.56, 3.87836 msec to evaluate
step 1700, training accuracy 0.44, 3.73721 msec to evaluate
step 1800, training accuracy 0.66, 4.08244 msec to evaluate
step 1900, training accuracy 0.74, 4.38809 msec to evaluate
test accuracy 0.7002
step 2000, training accuracy 0.7, 4.33016 msec to evaluate
step 2100, training accuracy 0.62, 4.04549 msec to evaluate
step 2200, training accuracy 0.6, 3.9928 msec to evaluate
step 2300, training accuracy 0.7, 4.2336 msec to evaluate
step 2400, training accuracy 0.66, 4.3633 msec to evaluate
step 2500, training accuracy 0.74, 4.57263 msec to evaluate
step 2600, training accuracy 0.76, 3.9618 msec to evaluate
step 2700, training accuracy 0.72, 4.27151 msec to evaluate
step 2800, training accuracy 0.76, 4.78125 msec to evaluate
step 2900, training accuracy 0.76, 3.6788 msec to evaluate
test accuracy 0.8031
step 3000, training accuracy 0.66, 3.58391 msec to evaluate
step 3100, training accuracy 0.76, 4.01926 msec to evaluate
step 3200, training accuracy 0.78, 3.96633 msec to evaluate
step 3300, training accuracy 0.88, 3.53312 msec to evaluate
step 3400, training accuracy 0.74, 4.17376 msec to evaluate
step 3500, training accuracy 0.78, 3.9463 msec to evaluate
step 3600, training accuracy 0.86, 4.38452 msec to evaluate
step 3700, training accuracy 0.92, 3.76344 msec to evaluate
step 3800, training accuracy 0.92, 5.41162 msec to evaluate
step 3900, training accuracy 0.86, 3.82996 msec to evaluate
test accuracy 0.8508
step 4000, training accuracy 0.84, 4.07362 msec to evaluate
step 4100, training accuracy 0.84, 3.93295 msec to evaluate
