NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.1, 37.0855 msec to evaluate
step 100, training accuracy 0.22, 4.05598 msec to evaluate
step 200, training accuracy 0.18, 4.36854 msec to evaluate
step 300, training accuracy 0.28, 3.93438 msec to evaluate
step 400, training accuracy 0.34, 3.69525 msec to evaluate
step 500, training accuracy 0.48, 4.1697 msec to evaluate
step 600, training accuracy 0.42, 3.88813 msec to evaluate
step 700, training accuracy 0.34, 3.95203 msec to evaluate
step 800, training accuracy 0.62, 4.40454 msec to evaluate
step 900, training accuracy 0.42, 4.06218 msec to evaluate
test accuracy 0.4969
step 1000, training accuracy 0.48, 4.01759 msec to evaluate
step 1100, training accuracy 0.58, 3.65019 msec to evaluate
step 1200, training accuracy 0.54, 3.97325 msec to evaluate
step 1300, training accuracy 0.46, 3.72434 msec to evaluate
step 1400, training accuracy 0.62, 4.65155 msec to evaluate
step 1500, training accuracy 0.58, 3.46303 msec to evaluate
step 1600, training accuracy 0.7, 3.932 msec to evaluate
step 1700, training accuracy 0.74, 3.7179 msec to evaluate
step 1800, training accuracy 0.62, 3.88741 msec to evaluate
step 1900, training accuracy 0.68, 3.97301 msec to evaluate
test accuracy 0.7315
step 2000, training accuracy 0.78, 4.09937 msec to evaluate
step 2100, training accuracy 0.62, 3.41916 msec to evaluate
step 2200, training accuracy 0.8, 3.40891 msec to evaluate
step 2300, training accuracy 0.72, 4.35305 msec to evaluate
step 2400, training accuracy 0.6, 3.97563 msec to evaluate
step 2500, training accuracy 0.58, 4.09842 msec to evaluate
step 2600, training accuracy 0.82, 4.69232 msec to evaluate
step 2700, training accuracy 0.66, 4.11868 msec to evaluate
step 2800, training accuracy 0.7, 4.45032 msec to evaluate
step 2900, training accuracy 0.8, 4.1616 msec to evaluate
test accuracy 0.8268
step 3000, training accuracy 0.82, 3.45039 msec to evaluate
step 3100, training accuracy 0.86, 4.56619 msec to evaluate
step 3200, training accuracy 0.7, 3.95536 msec to evaluate
step 3300, training accuracy 0.86, 3.77846 msec to evaluate
step 3400, training accuracy 0.86, 4.40741 msec to evaluate
step 3500, training accuracy 0.8, 3.78752 msec to evaluate
step 3600, training accuracy 0.88, 5.20873 msec to evaluate
step 3700, training accuracy 0.86, 4.68016 msec to evaluate
step 3800, training accuracy 0.9, 4.18448 msec to evaluate
step 3900, training accuracy 0.88, 4.0009 msec to evaluate
test accuracy 0.805
step 4000, training accuracy 0.86, 3.77059 msec to evaluate
step 4100, training accuracy 0.8, 4.27532 msec to evaluate
