[INFO] 2019-03-21T17:24:31z src/seal/ckks/he_seal_ckks_backend.cpp 66	Using SEAL CKKS config with 7 30-bit coefficients
[INFO] 2019-03-21T17:24:33z src/seal/he_seal_util.hpp 47	
/ Encryption parameters:
| scheme: HE:SEAL:CKKS
| poly_modulus: 8192
| coeff_modulus size: 210 bits
\ noise_standard_deviation: 3.2
[INFO] 2019-03-21T17:24:33z src/seal/ckks/he_seal_ckks_backend.cpp 284	Creating batched plain tensor with shape 4096, 784
[INFO] 2019-03-21T17:24:33z src/seal/ckks/he_seal_ckks_backend.cpp 284	Creating batched plain tensor with shape 4096, 10
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 254	Encrypting data
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 257	Batching data
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 292	Encrypting parameter 0
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 300	plain_input->get_batched_element_count() 784
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 307	Done encrypting parameter 0
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Parameter_0 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 338	Parameter shape {4096, 784}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_34 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {10}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 415	[1;31mConstant_34 took 26ms[0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_31 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {10}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 415	[1;31mConstant_31 took 26ms[0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_29 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {100, 10}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 415	[1;31mConstant_29 took 29ms[0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_25 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {100}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 415	[1;31mConstant_25 took 2ms[0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_22 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {100}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 415	[1;31mConstant_22 took 2ms[0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 333	[1;32m[ Constant_20 ][0m
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 343	Constant shape {845, 100}
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:33z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 415	[1;31mConstant_20 took 2076ms[0m
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 333	[1;32m[ Constant_16 ][0m
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 343	Constant shape {845}
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 415	[1;31mConstant_16 took 45ms[0m
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 333	[1;32m[ Constant_13 ][0m
[INFO] 2019-03-21T17:24:35z src/he_backend.cpp 343	Constant shape {845}
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mConstant_13 took 40ms[0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 333	[1;32m[ Constant_9 ][0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 343	Constant shape {}
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mConstant_9 took 27ms[0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 333	[1;32m[ Constant_3 ][0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 343	Constant shape {5, 5, 1, 5}
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: 
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mConstant_3 took 3ms[0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 333	[1;32m[ Reshape_2 ][0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: Cipher
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Cipher
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 480	Batch size 4096
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 839	Reshape op
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 854	Done with reshape op
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mReshape_2 took 0ms[0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 333	[1;32m[ Broadcast_35 ][0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mBroadcast_35 took 22ms[0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 333	[1;32m[ Broadcast_32 ][0m
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 469	Inputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 477	Outputs: Plain
[INFO] 2019-03-21T17:24:36z src/he_backend.cpp 415	[1;31mBroadcast_32 took 13ms[0m
